Species,Habitats used,Barren land,Coastal ,Cultivated crops,Deciduous forest,D. high intensity,D. low intensity,D. medium intensity,D. open space,Emergent herbaceous wetlands,Evergreen forest,Herbaceous/Hay/Pasture,Mixed forest,Shrub/Scrub,Woody wetlands
Agapostemon virescens,12.47,0.33,0.9,0.45,0.05,0.69,0.55,0.81,0.49,0.64,0.54,0.68,0.76,0.63,0.16
Andrena carlini,11.38,0.16,0.02,0.28,0.71,0.01,0.95,0.17,0.48,0.36,0.71,0.15,0.47,0.75,0.96
Andrena cressonii,12.41,0.21,0.49,0.5,0.63,0.04,0.54,0.06,0.75,0.76,0.48,0.2,0.36,0.27,0.6
Andrena erigeniae,11.43,0.22,0.07,0.01,1,0.01,0.65,0.04,0.72,0.14,0.67,0.17,0.51,0.25,0.27
Andrena nasonii,12.32,0.38,0.02,0.18,0.96,0.06,0.04,0.1,0.21,0.48,0.66,0.77,0.67,0.45,0.79
Andrena perplexa,10.82,0,0.24,0.98,0.53,0.01,0.8,0.04,0.6,0.3,0.6,0.1,0.24,0.57,0.58
Andrena violae,11.85,0.58,0.03,0.02,0.7,0.01,0.53,0.06,0.83,0.36,0.86,0.62,0.83,0.97,0.46
Apis mellifera,12.46,0.34,0.23,0.88,0.74,0.55,0.44,0.73,0.23,0.31,0.22,0.26,0.4,0.62,0.21
Augochlora pura,11.34,0.33,0.03,0.33,0.93,0.27,0.04,0.26,0.91,0.02,0.35,0.22,0.83,0.01,0.93
Augochlorella aurata,12.3,0.29,0.58,0.24,0.53,0.72,0.05,0.27,0.13,0.99,0.8,0.6,0.61,0.38,0.57
Bombus bimaculatus,12.04,0.13,0.62,0.84,0.98,0.06,0.05,0.12,0.01,0.51,0.81,0.3,0.7,0.42,0.26
Bombus fervidus,12.93,0.54,0.5,0.75,0.03,0.37,0.2,0.81,0.83,0.35,0.18,0.7,0.46,0.85,0.4
Bombus griseocollis,12.28,0.6,0.66,0.66,0.49,0.49,0.24,0.84,0.02,0.3,0.07,0.65,0.61,0.14,0.8
Calliopsis andreniformis,12.68,0.35,0.08,0.55,0.1,0.68,0.36,0.99,0.44,0.12,0.2,0.89,0.75,0.68,0.08
"Ceratina calcarata/
dupla/mikmaqi",12.53,0.93,0.97,0.41,0.37,0.15,0.55,0.49,0.49,0.66,0.08,0.51,0.5,0.53,0.17
Ceratina strenua,12.06,0.05,0.04,0.7,0.02,0.75,0.91,0.56,0.92,0.13,0.71,0.95,0.3,0.96,0.18
Halictus confusus,12.2,0.91,0.03,0.13,0.72,0.97,0.62,0.98,0.79,0.01,0.2,0.5,0.33,0.23,0.07
Halictus ligatus/poeyi,12.42,0.54,0,0.28,0.32,0.84,0.15,0.83,0.27,0.44,0.21,0.34,0.44,0.77,0.39
Halictus rubicundus,11.64,0.48,0.14,0.96,0.22,0.58,0.73,0.63,0.22,0.04,0.39,0.3,0.25,0.01,0.91
"Hylaeus affinis/
modestus",12.38,0.43,0.86,0.02,0.96,0.59,0.26,0.31,0.36,0.31,0.51,0.98,0.31,0.52,0
Lasioglossum bruneri,11.81,0.73,0.99,0.43,0.01,0.99,0.53,0.43,0.41,0.64,0.04,0.96,0.1,0.01,0.49
Lasioglossum callidum,12.35,0.67,0.34,0.99,0.01,0.22,0.25,0.1,0.61,0.85,0.1,0.81,0.43,0.18,0.84
Lasioglossum coriaceum,12.52,0.53,0.32,0.2,1,0.19,0.21,0.01,0.01,0.18,0.46,0.11,0.52,0.26,0.19
Lasioglossum cressonii,11.9,0.12,0.36,0.01,1,0.09,0.18,0.12,0.14,0.3,0.99,0.12,0.39,0.15,0.53
Lasioglossum hitchensi,12.13,0.09,0.12,0.48,0.29,0.26,0.55,0.67,0.95,0.38,0.16,0.59,0.24,0.38,0.73
Lasioglossum illinoense,11.59,0.51,0.02,0.48,0.72,0.96,0.44,0.46,0.99,0.01,0.18,0.12,0.59,0.23,0.03
Lasioglossum imitatum,12.18,0.1,0.05,0,0.99,0.59,0.97,0.89,0.47,0.1,0.16,0.59,0.26,0.4,0.01
Lasioglossum near admirandum,11.29,0,0.18,0.25,0.29,0.97,0.43,0.3,0.86,0.02,0.11,0.82,0.97,0.19,0.29
Lasioglossum oblongum,12.33,0.88,1,0.66,0.01,0.13,0.37,0.2,0.52,0.8,0.89,0.13,0.01,0.2,0.96
Lasioglossum pectorale,11.59,0,0.82,0.97,0.28,0.13,0.02,0.25,0.27,0.3,0.41,0.57,0.01,0.99,0.87
Lasioglossum pilosum,12.59,0.98,0.99,0.9,0,0.97,0.73,0.83,0.59,0.19,0.15,0.22,0.79,0.44,0.29
Lasioglossum tegulare,12.51,0.93,0.45,0.72,0.02,0.99,0.24,0.98,0.67,0.34,0.21,0.59,0.14,0.41,0.63
Lasioglossum versatum,11.96,0.24,0.9,0.61,0.61,0.69,0.04,0.06,0.93,0.83,0.24,0.22,0.87,0.14,0.03
Megachile brevis,12,0.98,0.3,0.36,0.01,0.63,0.65,0.49,0.61,0.99,0.22,0.89,0.5,0.01,0.44
Megachile mendica,11.9,0.69,0.81,0.18,0.56,0.88,0.38,0.42,0.04,0.73,0.02,0.59,0.33,0.01,0.87
Melissodes bimaculatus,11.94,0,0.7,1,0,0.53,0.54,0.86,0.34,0.81,0.18,0.6,0.08,0.55,0.87
Nomada bidentate group,12.52,0.54,0.21,0.18,0.9,0.05,0.94,0.07,0.3,0.36,0.85,0.12,0.69,0.27,0.47
Nomada pygmaea,11.65,0.26,0.05,0.57,0.87,0.01,0.79,0.01,0.36,0.66,0.89,0.02,0.44,0.29,0.94
Osmia atriventris,10.27,0.48,0.11,0.16,0.91,0.01,0.79,0,0.52,0.02,0.89,0.25,0.55,0.23,0.97
Osmia bucephala,11.94,0.29,0.01,0.01,1,0.26,0.69,0.01,0.38,0.01,0.57,0.51,0.46,0.7,0.05
Osmia georgica,12.93,0.3,0.05,0.1,0.94,0.08,0.23,0.28,0.44,0.24,0.79,0.68,0.12,0.35,0.69
Osmia pumila,12.45,0.52,0.02,0.17,0.93,0.09,0.72,0.03,0.2,0.63,0.6,0.33,0.83,0.96,0.66
Osmia taurus,11.64,0.53,0.16,0.96,0.62,0.05,0.8,0.05,0.11,0.35,0.85,0.17,0.07,0.01,0.96
Ptilothrix bombiformis,11.53,0.21,0.78,0.9,0,0.04,0.67,1,0.6,1,0.47,0.19,0.51,0.01,0.56
Xylocopa virginica,11.65,0,0.67,0.15,0.83,0.73,0.96,0.67,0.2,0.26,0.15,0.25,0.1,0.23,0.5
