id,link_id,genus,species,sex,category,trait,value,reference,credit,email,notes,,
,Hoplitis_adunca_1,Hoplitis,Hoplitis adunca,,Morphology,Weight,0.063,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Hoplitis_adunca_2,Hoplitis,Hoplitis adunca,,Morphology,Intertegular span,2.985,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Distance in mm,2.6225,
,Hoplitis_adunca_3,Hoplitis,Hoplitis adunca,,Morphology,Weight,0.063,M A Collado,M A Collado,xmiguelangelcolladox@gmail.com,Weight in grammes,,
,Hoplitis_adunca_4,Hoplitis,Hoplitis adunca,,Behaviour,Nest material,Cane,Oscar Aguado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Using Osmia Cane,,
,Hoplitis_adunca_5,Hoplitis,Hoplitis adunca,,Behaviour,Diet,Oligolecty,http://www.discoverlife.org/20/q?search=Hoplitis+adunca,,xmiguelangelcolladox@gmail.com,,,
,Hoplitis_adunca_6,Hoplitis,Hoplitis adunca,,Behaviour,Brood cell building,Sand,http://www.discoverlife.org/20/q?search=Hoplitis+adunca,,xmiguelangelcolladox@gmail.com,,,
,Hoplitis_adunca_7,Hoplitis,Hoplitis adunca,,Behaviour,Brood cell building,Clay,http://www.discoverlife.org/20/q?search=Hoplitis+adunca,,xmiguelangelcolladox@gmail.com,,,
,Hoplitis_adunca_8,Hoplitis,Hoplitis adunca,Male,Morphology,Intertegular span,2.67,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Cantabria,,
,Hoplitis_adunca_9,Hoplitis,Hoplitis adunca,Male,Morphology,Intertegular span,2.65,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Cantabria,,
,Hoplitis_adunca_10,Hoplitis,Hoplitis adunca,Male,Morphology,Intertegular span,2.52,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Huelva,,
,Hoplitis_adunca_11,Hoplitis,Hoplitis adunca,Male,Morphology,Intertegular span,2.39,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Huelva,,
,Hoplitis_adunca_12,Hoplitis,Hoplitis adunca,Female,Morphology,Intertegular span,2.52,M A Collado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Huelva,,
,Andrena_agilissima_1,Andrena,Andrena agilissima,,Behaviour,Nest material,Cane,Oscar Aguado,Oscar Aguado,xmiguelangelcolladox@gmail.com,Using Osmia Cane,,
,Andrena_agilissima_2,Andrena,Andrena agilissima,,Behaviour,Diet,Oligolecty,"Giovanetti, Manuela; Luppino, Silvia; Zola, Rosanna (2006)","Giovanetti, Manuela; Luppino, Silvia; Zola, Rosanna (2006)",xmiguelangelcolladox@gmail.com,A. agilissima is an oligolectic bee,,
,Andrena_agilissima_3,Andrena,Andrena agilissima,,Behaviour,Foraging ratio,300,"Giovanetti, Manuela; Luppino, Silvia; Zola, Rosanna (2006)","Giovanetti, Manuela; Luppino, Silvia; Zola, Rosanna (2006)",xmiguelangelcolladox@gmail.com,"Forage Ratio in meters, They are not known to go far from the nest, but they have been seen to forage about 300 meters away from their nesting site.",,
,Andrena_agilissima_4,Andrena,Andrena agilissima,,Behaviour,Nest building,Soil,"Giovanetti, Manuela et al 2003","Giovanetti, Manuela et al 2003",xmiguelangelcolladox@gmail.com,,,
,Megachile_apicalis_1,Megachile,Megachile apicalis,,Behaviour,Brood cell building,Plastic,https://www.flickr.com/photos/habropoda/11642856344/,NA,xmiguelangelcolladox@gmail.com,Nest cells constructed with plastic,,
,Megachile_apicalis_2,Megachile,Megachile apicalis,Female,Morphology,Length,8,http://www.discoverlife.org/20/q?search=Megachile+apicalis,Andrej Gogala,xmiguelangelcolladox@gmail.com,Distance in mm,,
,Megachile_apicalis_3,Megachile,Megachile apicalis,,Behaviour,Diet,Polylecty,http://www.discoverlife.org/20/q?search=Megachile+apicalis,Andrej Gogala,xmiguelangelcolladox@gmail.com,,,
,Megachile_apicalis_4,Megachile,Megachile apicalis,,Behaviour,Nest material,Holes,http://www.discoverlife.org/20/q?search=Megachile+apicalis,Andrej Gogala,xmiguelangelcolladox@gmail.com, Nests in various pre-existing cavities.,,
